"CHEMICAL_NAME"	"omics_layer"	"logFC_post"	"AveExpr_post"	"t_post"	"P.Value_post"	"adj.P.Val_post"	"B_post"	"sig_post"	"logFC_post_NGT"	"AveExpr_post_NGT"	"t_post_NGT"	"P.Value_post_NGT"	"adj.P.Val_post_NGT"	"B_post_NGT"	"sig_post_NGT"	"logFC_post_T2D"	"AveExpr_post_T2D"	"t_post_T2D"	"P.Value_post_T2D"	"adj.P.Val_post_T2D"	"B_post_T2D"	"sig_post_T2D"	"logFC_rec"	"AveExpr_rec"	"t_rec"	"P.Value_rec"	"adj.P.Val_rec"	"B_rec"	"sig_rec"	"logFC_rec_NGT"	"AveExpr_rec_NGT"	"t_rec_NGT"	"P.Value_rec_NGT"	"adj.P.Val_rec_NGT"	"B_rec_NGT"	"sig_rec_NGT"	"logFC_rec_T2D"	"AveExpr_rec_T2D"	"t_rec_T2D"	"P.Value_rec_T2D"	"adj.P.Val_rec_T2D"	"B_rec_T2D"	"sig_rec_T2D"
"isovalerylcarnitine (C5)"	"metabolome"	2.028111326107	2.31817651610932	8.43341186889604	3.26607065550837e-14	2.12545828812314e-12	21.7374037260908	TRUE	1.93166443674108	2.31817651610932	5.33451974715806	3.65045897540907e-07	2.37560637938159e-05	6.09604565558463	TRUE	2.12455821547292	2.31817651610932	6.71783654831847	4.01672744458014e-10	2.831792848429e-08	12.6900375655826	TRUE	-0.675600988300306	2.31817651610932	-2.62717237755487	0.0095457140452903	0.0395866376584098	-3.40490129794513	TRUE	-0.990487066609226	2.31817651610932	-2.52479614770448	0.0126644057883433	0.112779866283563	-3.41308953386426	FALSE	-0.360714909991386	2.31817651610932	-1.08588347112892	0.27935197763513	0.486279368475967	-5.86750554341764	FALSE
"3-methyl-2-oxobutyrate"	"metabolome"	0.830798800171601	-1.85767503362241	8.27110784693787	3.94627652749603e-14	2.38467853018689e-12	21.4921893274908	TRUE	0.741882491465348	-1.85767503362241	4.92873408533885	1.9770171508233e-06	9.29198060886952e-05	4.42747827060798	TRUE	0.919715108877854	-1.85767503362241	6.91287289707652	9.52307331639664e-11	7.32410911424687e-09	14.0484953291821	TRUE	0.163904484670014	-1.85767503362241	1.63176893012176	0.104607422285352	0.241797484298929	-5.54640838637093	FALSE	0.287291976711025	-1.85767503362241	1.90863886713809	0.0580193670535622	0.265320997444938	-4.82432682129222	FALSE	0.0405169926290023	-1.85767503362241	0.304538674544356	0.761095689138103	0.868091642203729	-6.48094330876615	FALSE
"N-acetyl-isoputreanine"	"metabolome"	-0.678284889227875	2.03105411697799	-7.61202878032206	1.87097785388672e-12	1.05523150959211e-10	17.7000160759904	TRUE	-0.655511173725995	2.03105411697799	-4.90908804913457	2.1581263837453e-06	9.6093416876238e-05	4.34361132665629	TRUE	-0.701058604729755	2.03105411697799	-5.93991228321367	1.60410765702331e-08	9.04716718561148e-07	9.08156415618454	TRUE	-0.399954593712239	2.03105411697799	-4.4884766364547	1.329645459661e-05	0.00020831112201355	2.59886545478495	TRUE	-0.366443350497814	2.03105411697799	-2.74427461302985	0.00672601291654178	0.0824667670636861	-2.96687644517437	FALSE	-0.433465836926665	2.03105411697799	-3.6726587930644	0.00032262501575497	0.00379084393512099	-0.143918151891283	TRUE
"cortisol"	"metabolome"	1.1699906140401	-5.14712236350839	7.81778905688275	6.05357994282605e-12	3.20083039476928e-10	16.7689389192339	TRUE	1.14948683158093	-5.14712236350839	5.13211679547029	1.44198689895704e-06	7.17600539128035e-05	4.90208258806217	TRUE	1.19049439649927	-5.14712236350839	6.045772769762	2.67392579891991e-08	1.33067130934485e-06	8.74697731254322	TRUE	-0.485675674124075	-5.14712236350839	-2.3492627845898	0.0208079553900354	0.0690334519998821	-3.7443337804973	FALSE	-0.715043908539101	-5.14712236350839	-2.10318879858776	0.0379989491587238	0.218687829852247	-3.97767983402711	FALSE	-0.256307439709048	-5.14712236350839	-1.11326971547419	0.268303437753087	0.46994763631286	-5.61969884818053	FALSE
"2-methylbutyrylcarnitine (C5)"	"metabolome"	0.948322868263452	1.78381733816704	7.18759566411081	2.44564922449911e-11	1.21707014348603e-09	15.207952425889	TRUE	1.10625542889123	1.78381733816704	5.65686341669281	7.02939617854856e-08	5.40624469732008e-06	7.65123280136075	TRUE	0.790390307635676	1.78381733816704	4.46374980422718	1.52203263583234e-05	0.000541200077837	2.54308660403373	TRUE	0.266044515607066	1.78381733816704	2.06850761313791	0.0402171545500132	0.114173532715809	-4.75702004143489	FALSE	0.353515623720672	1.78381733816704	1.83400593021468	0.0685290800144552	0.28740935212859	-4.95718216015855	FALSE	0.178573407493459	1.78381733816704	1.04836436218811	0.296067254469684	0.501949693950607	-5.98462152033602	FALSE
"cortisone"	"metabolome"	0.901644471398691	-6.01691395485582	7.52387437034413	4.9620597029639e-11	2.33216806039303e-09	14.8238370039555	TRUE	0.790184341013644	-6.01691395485582	4.3418159040736	3.86420308852016e-05	0.00136213158870336	1.91432350006905	TRUE	1.01310460178374	-6.01691395485582	6.69590440741416	2.14285740271793e-09	1.3945056636149e-07	11.2322352212727	TRUE	0.430889359762589	-6.01691395485582	3.14835720825514	0.00226178541196722	0.0125886214376596	-1.7790282665695	TRUE	0.371245019801446	-6.01691395485582	1.7673248839382	0.0807440712270998	0.311915453233454	-4.63372944612556	FALSE	0.490533699723732	-6.01691395485582	2.79816225211092	0.00635030439113513	0.0395026287860318	-2.498343855808	TRUE
"indolelactate"	"metabolome"	0.688577383399349	-3.02407553588272	6.97662928156141	6.70714955719291e-11	2.986446592308e-09	14.1907808999674	TRUE	0.802925484993387	-3.02407553588272	5.42875919684934	1.96511638220145e-07	1.38540704945203e-05	6.64346683106816	TRUE	0.57422928180531	-3.02407553588272	4.39253929197651	1.98100126583519e-05	0.00064458733496022	2.25799829638394	TRUE	0.36934032814681	-3.02407553588272	3.74213648361453	0.00025042959601459	0.00212035022480174	-0.172008698205004	TRUE	0.363603223861268	-3.02407553588272	2.45840290591497	0.0149735158913681	0.124425962648097	-3.67237952339027	FALSE	0.375077432432352	-3.02407553588272	2.8691367920373	0.00464649865574403	0.0302379835596881	-2.57153631038168	TRUE
"4-hydroxyhippurate"	"metabolome"	1.31900016197132	-5.66080382099868	7.38805194988082	1.23003222452297e-10	5.20303630973214e-09	13.9633003341822	TRUE	1.24661006050349	-5.66080382099868	4.88822492112038	5.11080896806471e-06	0.00021618721934913	3.81402188889689	TRUE	1.39139026343915	-5.66080382099868	5.71172391175621	1.81513641720873e-07	8.53114116088102e-06	7.01720553788264	TRUE	0.105484237582174	-5.66080382099868	0.56261292497132	0.575262992270327	0.743011437344575	-6.283632582553	FALSE	0.144124196383033	-5.66080382099868	0.535976826644847	0.59345342878322	0.803298561200966	-6.09016264004599	FALSE	0.0668442787813142	-5.66080382099868	0.256655873956221	0.798099674088862	0.894294469243944	-6.03542306897296	FALSE
"N-formylmethionine"	"metabolome"	0.498448389914548	-2.9246452607133	6.69701822771106	3.08137167812772e-10	1.24135259033145e-08	12.6989777982549	TRUE	0.512597883333869	-2.9246452607133	4.59589962461992	8.44772073524576e-06	0.00034032246390561	3.04093816899752	TRUE	0.484298896495226	-2.9246452607133	4.91260890148745	2.12452777186397e-06	8.98675247498458e-05	4.38397629360876	TRUE	0.235795118600656	-2.9246452607133	3.16807966326184	0.00182420936259421	0.0106433180741704	-2.01225416265143	TRUE	0.214546137428864	-2.9246452607133	1.92359848632215	0.056101275519677	0.261784652954291	-4.79662852190518	FALSE	0.257044099772449	-2.9246452607133	2.60739213274133	0.0099473310655982	0.055731404513219	-3.2464460580102	FALSE
"glutarate (C5-DC)"	"metabolome"	0.935176591898493	-2.83319893214774	6.45911567238737	1.43810135775832e-09	5.5301534030161e-08	11.2486034024496	TRUE	0.833586119574214	-2.83319893214774	3.85766909781034	0.00017060055728516	0.00515457398083046	0.241995586552852	TRUE	1.03676706422277	-2.83319893214774	5.37845468486714	2.88389889786294e-07	1.2840939303116e-05	6.34469097976058	TRUE	-0.10812425154589	-2.83319893214774	-0.744910023673443	0.457511786122981	0.653243474288502	-6.53618205944221	FALSE	-0.152347253393735	-2.83319893214774	-0.705779053381545	0.481439145599766	0.731234321682948	-6.31742084835571	FALSE	-0.0639012496980458	-2.83319893214774	-0.329199948129056	0.742471705241096	0.853962692914337	-6.41544252173646	FALSE
