"CHEMICAL_NAME"	"omics_layer"	"logFC_post_M"	"AveExpr_post_M"	"t_post_M"	"P.Value_post_M"	"adj.P.Val_post_M"	"B_post_M"	"sig_post_M"	"logFC_post_W"	"AveExpr_post_W"	"t_post_W"	"P.Value_post_W"	"adj.P.Val_post_W"	"B_post_W"	"sig_post_W"	"logFC_rec_M"	"AveExpr_rec_M"	"t_rec_M"	"P.Value_rec_M"	"adj.P.Val_rec_M"	"B_rec_M"	"sig_rec_M"	"logFC_rec_W"	"AveExpr_rec_W"	"t_rec_W"	"P.Value_rec_W"	"adj.P.Val_rec_W"	"B_rec_W"	"sig_rec_W"
"glutathione, oxidized (GSSG)"	"metabolome"	0.208517313184715	6.11971291053461	1.79914718954284	0.0737961786049468	0.321103758959392	-5.29110706224615	FALSE	0.0846591719036622	6.11971291053461	0.717758934664986	0.47390612305113	0.679533186612298	-6.49739689243927	FALSE	0.562784577776236	6.11971291053461	4.8558667669347	2.73329714287228e-06	0.00023123693828699	4.36427491649258	TRUE	0.286190904323909	6.11971291053461	2.42638894261912	0.0163110883343655	0.0754053591850995	-3.71840418353667	FALSE
"7-methylguanine"	"metabolome"	0.129807617724563	-1.27977026777067	1.79778203814962	0.0740132777743279	0.321103758959392	-5.29350487192869	FALSE	0.00487585446917382	-1.27977026777067	0.0663540764362419	0.947175090614603	0.977974536449374	-6.75047816189567	FALSE	0.0363524163152682	-1.27977026777067	0.503465992524411	0.61529836812821	0.828889202924309	-6.30597689308871	FALSE	-0.177539840481769	-1.27977026777067	-2.41608772786068	0.0167634557503057	0.077075454156297	-3.74216513077541	FALSE
"3-hydroxypyridine sulfate"	"metabolome"	-0.393861011799783	-5.14421588880868	-1.68244050947826	0.0956527863924548	0.373981177913145	-5.33346093233221	FALSE	-0.677806306969583	-5.14421588880868	-2.64673117897412	0.00946407587477726	0.0769866172121304	-3.17568219825937	FALSE	-0.686346388988308	-5.14421588880868	-2.83905075522345	0.00549698334044953	0.0581305988252537	-2.47694037798861	FALSE	-0.955865125798937	-5.14421588880868	-3.61729159303719	0.00047185553463655	0.00604833003488678	-0.317912911083098	TRUE
"N2,N2-dimethylguanosine"	"metabolome"	0.164658702256832	-4.24091084980241	1.74253230484868	0.0835290125916142	0.353327723262528	-5.33538748438385	FALSE	0.231567371059726	-4.24091084980241	2.45405975097952	0.0153061717459283	0.101960797614609	-3.78811983510983	FALSE	0.0153102165298913	-4.24091084980241	0.165255150159196	0.868972628645703	0.959408162260601	-6.38062760588194	FALSE	-0.0723251250914716	-4.24091084980241	-0.74940755046806	0.454821988590767	0.668943179670388	-6.23673144822202	FALSE
"cytidine-5'-diphosphoethanolamine"	"metabolome"	0.306398781873146	-2.16354670706247	1.76332133337634	0.079681277631583	0.343930412634282	-5.35328001205961	FALSE	0.347511736781232	-2.16354670706247	1.95823372556557	0.0518741471280334	0.183121343381901	-4.86797080899112	FALSE	0.326610866909033	-2.16354670706247	1.87964164156396	0.0619045612887799	0.243587250466548	-4.71666151925882	FALSE	0.318334942067338	-2.16354670706247	1.79382206010111	0.0746568582940764	0.224793895838888	-4.99650142537913	FALSE
"benzoylcarnitine*"	"metabolome"	-0.285440878647913	-0.460428837694098	-1.75296810101474	0.0814823760357	0.348151970334354	-5.35962126193372	FALSE	0.153417729597876	-0.460428837694098	0.92921511873226	0.354147920073713	0.575065528564993	-6.31689819653754	FALSE	-0.321157042030838	-0.460428837694098	-1.97231052806117	0.0502613286191762	0.216944306182771	-4.53525069804552	FALSE	-0.241508143360186	-0.460428837694098	-1.4627580442981	0.145453880202297	0.334385822421584	-5.51521421672388	FALSE
"16alpha-hydroxy DHEA 3-sulfate"	"metabolome"	-0.43204700940298	-5.82844360766827	-1.48935904669634	0.142163287491706	0.44876918364919	-5.36139110611516	FALSE	-0.0917600366363631	-5.82844360766827	-0.171817699074916	0.864217911423297	0.930771520359325	-5.73749732126247	FALSE	0.00045772928455356	-5.82844360766827	0.00156327982214604	0.998758397748256	0.998758397748256	-5.98560682137567	FALSE	-0.25035827484633	-5.82844360766827	-0.698963953018463	0.487549877469065	0.690899826363198	-5.71812525745986	FALSE
"glutarylcarnitine (C5-DC)"	"metabolome"	0.441931764941121	2.66871992690409	1.75757489968802	0.0806472913771648	0.34633303809686	-5.36334073678757	FALSE	0.686896021925475	2.66871992690409	2.68429128245362	0.00799882649775398	0.0683881692685421	-3.25267389587642	FALSE	-0.0251059593910163	2.66871992690409	-0.0998470975810394	0.920585159267452	0.979526259345855	-6.42524177464037	FALSE	0.158779610234575	2.66871992690409	0.620487977771833	0.535780170397732	0.722978245960422	-6.38229646760488	FALSE
"N-acetyl-glucosamine 1-phosphate"	"metabolome"	0.286513798187742	-4.83289475802974	1.68202383025489	0.0950129438430684	0.373981177913145	-5.36473291144297	FALSE	0.270391565418832	-4.83289475802974	1.59619001186681	0.112923131661866	0.289493846624057	-5.39472293554522	FALSE	0.326202947475212	-4.83289475802974	1.9228031908111	0.0567358040625383	0.23644576471383	-4.52952533826061	FALSE	0.627334434604577	-4.83289475802974	3.8520902655267	0.00018456984777939	0.00318665492288501	0.405696172120891	TRUE
"coenzyme A"	"metabolome"	-0.346364041067114	-3.44682825351211	-1.72685889027286	0.0862054426396826	0.357499041535154	-5.38317936826183	FALSE	-0.351708835893858	-3.44682825351211	-1.72055603353864	0.0873472502778468	0.244527409376118	-5.26316427255578	FALSE	-0.510633630155665	-3.44682825351211	-2.55654973337886	0.0115424608283771	0.0895864390899725	-3.26845728496877	FALSE	-0.852268213637249	-3.44682825351211	-4.15704642723754	5.34249341946127e-05	0.00144236037596921	1.52717016821996	TRUE
